,10th Class percentage,10th Class passing year ,10th Class Roll.No
0,,,['O098553']
1,,,
2,[' 90.20 '],['MARCH-2017'],['Joo0a18']
3,,['MARCH-2014'],['J070365']
4,[' 93.00 '],['MARCH-2017'],['J090823']
